2019,Institution_Name,Country,Classification,,,,,Academic_Reputation,Academic_Reputation_Rank,Employer_Reputation,Employer_Reputation_Rank,Faculty_Student,Faculty_Student_Rank,Citations_per_Faculty,Citations_per_Faculty_Rank,International_Faculty,International_Faculty_Rank,International_Students,International_Students_Rank,Overall_Score,Continent
13,PRINCETON UNIVERSITY,United States,M,CO,VH,5,B,99.9,10,96.7,25,70.3,197,100,4,70.1,248,69.2,196,90.9,North America
14,CORNELL UNIVERSITY,United States,L,FC,VH,5,B,98.7,20,90.5,48,70.4,195,95.9,22,93.3,142,77,160,90.5,North America
15,YALE UNIVERSITY,United States,L,FC,VH,5,B,99.9,9,99.7,11,100,5,60.2,156,86.3,186,61.2,236,89.6,North America
16,COLUMBIA UNIVERSITY,United States,L,FC,VH,5,B,99.7,12,97.4,23,100,19,59.2,167,40.4,377,96.2,72,88.5,North America
17,TSINGHUA UNIVERSITY,China,XL,FC,VH,5,A,97,27,99.4,14,91.5,80,77.4,70,60.6,288,29.2,440,87.2,Asia
18,UNIVERSITY OF EDINBURGH,United Kingdom,L,FC,VH,5,A,97.3,24,94,34,85.5,114,57.2,181,97.4,107,98.8,45,86.9,Europe
19,UNIVERSITY OF PENNSYLVANIA,United States,L,FC,VH,5,B,95.4,32,92.6,42,100,15,59.7,164,72.1,239,65.2,219,86.5,North America
20,UNIVERSITY OF MICHIGAN,United States,XL,FC,VH,5,A,98.9,17,90.2,49,94.3,69,60.5,153,82.3,200,49.8,291,86.4,North America
21,JOHNS HOPKINS UNIVERSITY,United States,L,FC,VH,5,B,89.7,40,56.9,136,100,13,80.2,61,79.9,209,81.6,140,85.9,North America
22,ÉCOLE POLYTECHNIQUE FÉDÉRALE DE LAUSANNE (EPFL),Switzerland,M,FO,VH,5,A,72.8,76,78.2,82,94.5,67,98.9,14,100,14,100,12,85.8,Europe
23,THE UNIVERSITY OF TOKYO,Japan,L,FC,VH,5,A,100,7,99.5,13,94.2,70,72.2,90,12.3,601+,25.5,465,85.3,Asia
24,AUSTRALIAN NATIONAL UNIVERSITY (ANU),Australia,L,FC,VH,4,A,97.1,26,82.6,66,47.9,319,87.8,44,100,39,99.5,33,84.4,Oceania
25,UNIVERSITY OF HONG KONG (HKU),Hong Kong,L,FC,VH,5,A,96.7,28,83.7,63,88.1,96,47.1,264,100,21,99.4,36,84.3,Asia
26,DUKE UNIVERSITY,United States,L,FC,VH,5,B,88.2,46,74.7,87,99.3,37,88.2,41,14.3,601+,55,260,83.9,North America
