2019,Institution_Name,Country,Classification,,,,,Academic_Reputation,Academic_Reputation_Rank,Employer_Reputation,Employer_Reputation_Rank,Faculty_Student,Faculty_Student_Rank,Citations_per_Faculty,Citations_per_Faculty_Rank,International_Faculty,International_Faculty_Rank,International_Students,International_Students_Rank,Overall_Score,Continent
156,UNIVERSITY OF MINNESOTA,United States,XL,FC,VH,5,A,66.9,90,25.6,380,27.3,533,61.8,145,8.1,601+,21.5,505,48.7,North America
158,UNIVERSITY OF BATH,United Kingdom,L,CO,VH,4,A,35.5,221,71.6,95,28.3,523,59.9,158,97.4,106,91.2,98,48.6,Europe
159,UNIVERSIDAD AUTÓNOMA DE MADRID,Spain,L,FC,VH,4,A,63.2,102,69,102,47.8,320,23.7,499,11.6,601+,25.7,462,48.5,Europe
160,UNIVERSITY OF BASEL,Switzerland,L,FC,VH,5,A,29.9,273,23.4,407,31.6,483,92,30,100,25,84.7,125,48.4,Europe
160,UNIVERSITY OF TECHNOLOGY SYDNEY (UTS),Australia,L,CO,VH,3,A,41.3,187,83.5,64,11.7,601+,57,182,98.8,80,94.4,84,48.4,Oceania
162,INDIAN INSTITUTE OF TECHNOLOGY BOMBAY (IITB),India,M,CO,VH,4,A,52.5,139,72.9,93,43.3,359,54.1,199,4.4,601+,1.8,601+,48.2,Asia
163,NATIONAL TSING HUA UNIVERSITY,Taiwan,L,CO,VH,4,A,44.5,175,47,182,25.9,559,88.2,42,32.5,437,17.9,549,48,Asia
163,UNIVERSITY OF WATERLOO,Canada,XL,CO,VH,4,A,38,203,70.7,97,9.2,601+,77.9,68,79.6,210,83.9,130,48,North America
165,UNIVERSIT?CATHOLIQUE DE LOUVAIN (UCL),Belgium,L,FC,VH,5,B,48.6,154,45.6,194,15.6,601+,67.6,113,90.8,161,52.3,274,47.9,Europe
166,UNIVERSITAT DE BARCELONA (UB),Spain,XL,FC,VH,5,A,69.9,81,48.9,174,34,444,30.1,426,6.4,601+,32.7,406,47.8,Europe
167,SCUOLA SUPERIORE SANT'ANNA PISA,Italy,S,FC,VH,3,A,14.9,501+,9,501+,94.4,68,97.1,18,2.1,601+,46.1,309,47.7,Europe
168,EBERHARD KARLS UNIVERSITÄT TÜBINGEN,Germany,L,FC,VH,5,A,45.1,172,28.4,347,90.5,84,18,583,61.5,284,35.9,381,47.6,Europe
169,"UNIVERSITY OF CALIFORNIA, IRVINE (UCI)",United States,XL,FC,VH,4,A,46.1,166,21.6,437,13.7,601+,86,49,52.4,322,84.6,126,47.5,North America
170,INDIAN INSTITUTE OF SCIENCE (IISC) BANGALORE,India,S,SP,VH,5,A,35,227,16.3,501+,55.8,282,100,2,1.6,601+,2,601+,47.1,Asia
171,UNIVERSITY OF BERGEN,Norway,M,FC,VH,4,A,30.8,261,11,501+,81,146,59.8,163,88.1,175,14.5,601+,46.8,Europe
172,INDIAN INSTITUTE OF TECHNOLOGY DELHI (IITD),India,M,CO,VH,4,A,46.8,162,65.5,107,21,601+,84,53,3.1,601+,1.6,601+,46.6,Asia
172,UNIVERSITY OF TWENTE,Netherlands,M,FO,VH,4,A,21.5,381,24.9,390,44.5,343,90.2,33,92.4,148,77.1,159,46.6,Europe
172,UNIVERSITY OF ABERDEEN,United Kingdom,L,FC,VH,5,A,28.6,293,33.1,286,48.3,315,62,141,97.7,100,96.5,69,46.6,Europe
175,UNIVERSITÄT WIEN,Austria,XL,FC,VH,5,A,60.8,111,35.7,266,26.6,546,17.4,586,98.4,90,93.4,87,46.4,Europe
175,SCUOLA NORMALE SUPERIORE DI PISA,Italy,S,FO,VH,4,A,19,428,7.2,501+,99.6,34,81.6,59,11.9,601+,23.3,482,46.4,Europe
175,UNIVERSITY OF OTAGO,New Zealand,L,FC,VH,5,A,48.6,155,40.1,229,21.7,601+,50.9,225,100,32,65.6,215,46.4,Oceania
178,TECNOLÓGICO DE MONTERREY (ITESM),Mexico,L,FC,HI,4,B,33.2,246,82.3,67,88.4,94,3.9,601+,99.6,60,22.2,494,46.2,North America
179,ERASMUS UNIVERSITY ROTTERDAM,Netherlands,L,FO,VH,5,A,34.1,234,45.4,195,43.1,362,59.3,165,74.1,230,71.6,182,46.1,Europe
180,UNIVERSIT?DI BOLOGNA (UNIBO),Italy,XL,FC,VH,5,A,72.1,77,49.6,169,7.3,601+,46.2,272,10.5,601+,14.6,601+,45.9,Europe
180,QUEEN'S UNIVERSITY OF BELFAST,United Kingdom,L,FC,VH,5,A,27.3,308,37.6,245,44.3,349,62.3,137,99.5,68,96.9,65,45.9,Europe
180,FREIE UNIVERSITÄT BERLIN,United States,XL,FC,VH,5,A,48.2,156,35.7,265,71.5,189,33.1,384,21.6,511,17.8,550,45.9,North America
183,DARTMOUTH COLLEGE,United States,M,FC,VH,5,B,21.9,376,34.5,278,79.5,151,77,72,5,601+,37.4,368,45.8,North America
184,UNIVERSITI KEBANGSAAN MALAYSIA (UKM),Malaysia,L,FC,VH,3,A,47.4,160,33.6,282,80.9,147,13.7,601+,44.1,352,38.4,358,45.5,Asia
184,UNIVERSITY OF ROCHESTER,United States,M,FC,VH,5,B,24.4,336,9.3,501+,100,12,36,353,60.7,287,89.3,109,45.5,North America
186,UNIVERSITÄT FREIBURG,Germany,L,FC,VH,5,A,50.1,148,27,360,33.9,449,52.5,209,59.3,297,45.9,310,45.4,Europe
186,CASE WESTERN RESERVE UNIVERSITY,United States,M,FC,VH,5,B,20.6,394,11.3,501+,97.4,49,53.5,202,43.2,357,72.2,180,45.4,North America
188,VRIJE UNIVERSITEIT BRUSSEL (VUB),Belgium,M,FC,VH,5,A,24.2,338,29.4,331,95.6,58,29.2,440,84.1,196,65.4,217,45.2,Europe
189,KING FAHD UNIVERSITY OF PETROLEUM & MINERALS (KFUPM),Saudi Arabia,M,CO,VH,4,A,24.4,335,29.7,327,93.9,71,33.6,376,100,19,35.9,382,45.1,Asia
190,UNIVERSITY OF COLORADO AT BOULDER,United States,XL,CO,VH,5,A,37.5,207,30,325,69.4,202,51.5,219,38.4,393,15.7,578,45,North America
191,TECHNISCHE UNIVERSITÄT DRESDEN,Germany,XL,FC,VH,5,A,33.4,243,72.5,94,82.4,132,20.7,538,35.5,413,36.4,376,44.9,Europe
192,UNIVERSITY OF VIRGINIA,United States,L,FC,VH,5,A,38.6,201,40.1,230,65.2,225,49.5,240,29.5,453,17,559,44.8,North America
193,UNIVERSITY COLLEGE DUBLIN (UCD),Ireland,L,FC,VH,5,A,42.4,184,49,172,27.1,536,46.2,273,96.2,120,65.1,220,44.7,Europe
193,UNIVERSITAT AUTÓNOMA DE BARCELONA,Spain,XL,FC,VH,4,A,63,103,35.9,261,21,601+,44.1,289,26.4,474,28.3,445,44.7,Europe
195,UNIVERSITY OF READING,United Kingdom,L,CO,VH,5,A,33.6,240,41.6,221,38.3,401,49.1,245,93.5,138,91.2,97,44.4,Europe
195,VANDERBILT UNIVERSITY,United States,L,FC,VH,5,B,29.1,281,20,463,100,6,37.6,343,25.7,482,36,380,44.4,North America
197,GEORG-AUGUST-UNIVERSITÄT GÖTTINGEN,Germany,XL,FC,VH,5,A,50.1,147,19.7,469,68.5,207,23.8,497,47,341,27.5,449,44.3,Europe
198,KEIO UNIVERSITY,Japan,XL,FC,VH,5,B,51.1,146,77,86,63.5,231,9.7,601+,13.4,601+,11.1,601+,44.1,Asia
199,TECHNISCHE UNIVERSITÄT WIEN,Austria,L,FO,VH,5,A,30.3,267,61.9,120,6.7,601+,79.6,63,74.1,232,91.4,94,44,Europe
200,UNIVERSITY OF CAPE TOWN,South Africa,L,FC,VH,5,A,45.6,169,47.7,180,31,493,43.8,292,72.1,238,44.8,314,43.9,Africa
200,STOCKHOLM UNIVERSITY,Sweden,L,CO,VH,5,A,51.8,143,20.3,460,29.5,506,51.6,218,78.7,211,17.5,554,43.9,Europe
